customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
,,,,1322304.38,37534.0,84.0,2.0,,,403.2
,,,,262331.54,80210.0,65.0,0.0,,,20.543176
,,,,1784019.56,0.0,62.0,0.0,,,385.115437
,,,,510611.18,30110.0,64.0,0.0,,,140.165035
,,,,1793060.45,21708.0,68.0,0.0,,,326.4
,,,,545734.26,94731.0,67.0,0.0,,,321.6
,,,,656364.41,32375.0,83.0,0.0,,,398.4
,,,,481252.52,16531.0,63.0,0.0,,,102.879769
,,,,2932804.19,32006.0,94.0,0.0,,,56.868289
,,,,577352.07,81676.0,72.0,0.0,,,463.158502
,,,,684711.89,71038.0,86.0,0.0,,,205.444066
,,,,359531.29,0.0,103.0,0.0,,,741.6
,,,,2285561.21,20832.0,65.0,0.0,,,56.371967
,,,,785941.46,0.0,113.0,0.0,,,813.6
,,,,411557.74,52405.0,103.0,0.0,,,494.4
,,,,502963.88,0.0,133.0,0.0,,,795.864079
,,,,482141.85,26583.0,1005.0,4.0,,,614.4
,,,,500431.05,25486.0,65.0,0.0,,,72.438681
,,,,863005.39,24065.0,111.0,0.0,,,532.8
,,,,932208.51,70435.0,116.0,0.0,,,67.881546
,,,,1672756.06,0.0,76.0,2.0,,,402.636829
,,,,365253.24,39679.0,92.0,0.0,,,641.388616
,,,,615860.12,0.0,89.0,0.0,,,342.481173
,,,,437608.4,0.0,69.0,4.0,,,331.2
,,,,556945.62,53565.0,71.0,1.0,,,340.8
,,,,257651.3,37574.0,66.0,1.0,,,412.101933
,,,,834698.32,48259.0,108.0,0.0,,,73.700573
,,,,632392.39,78532.0,78.0,0.0,,,374.4
,,,,597314.34,96163.0,73.0,0.0,,,350.4
,,,,470667.7,0.0,72.0,0.0,,,345.6
,,,,809341.03,0.0,114.0,1.0,,,722.024742
,,,,503574.46,72672.0,63.0,0.0,,,259.361117
,,,,902786.72,99002.0,112.0,1.0,,,537.6
,,,,728888.48,79494.0,91.0,0.0,,,396.295614
,,,,1804247.94,35704.0,225.0,0.0,,,358.281562
,,,,499206.3,0.0,71.0,0.0,,,653.388564
,,,,910226.78,26049.0,118.0,0.0,,,121.032372
,,,,254040.77,70125.0,64.0,0.0,,,92.813396
,,,,1294189.19,52369.0,110.0,1.0,,,528.0
,,,,236534.86,0.0,66.0,2.0,,,159.636956
,,,,572076.51,41770.0,72.0,0.0,,,476.156957
,,,,703553.41,0.0,101.0,0.0,,,727.2
,,,,263697.77,31911.0,67.0,0.0,,,321.6
,,,,539583.2,70051.0,68.0,0.0,,,42.078345
,,,,838263.01,19683.0,117.0,1.0,,,561.6
,,,,3116174.52,30916.0,112.0,0.0,,,200.11606
,,,,288774.23,0.0,80.0,0.0,,,676.944023
,,,,742584.53,84302.0,62.0,0.0,,,76.609295
,,,,2558572.78,0.0,116.0,0.0,,,830.623064
,,,,1027260.82,60145.0,132.0,0.0,,,580.473259
,,,,437636.36,63774.0,111.0,0.0,,,60.036683
,,,,531889.66,25134.0,67.0,0.0,,,321.6
,,,,471976.22,37057.0,61.0,1.0,,,47.53101
,,,,442803.16,58577.0,110.0,0.0,,,303.872752
,,,,587917.61,85857.0,73.0,0.0,,,100.620067
,,,,941690.85,70602.0,116.0,0.0,,,481.339891
,,,,828815.56,33816.0,106.0,2.0,,,508.8
,,,,3265483.83,0.0,153.0,0.0,,,1101.6
,,,,471945.01,89642.0,121.0,4.0,,,86.320022
,,,,390347.48,60068.0,98.0,0.0,,,470.4
,,,,545725.97,50044.0,139.0,0.0,,,667.2
,,,,272535.64,36650.0,69.0,1.0,,,56.60333
,,,,443397.37,50653.0,110.0,0.0,,,262.865172
,,,,533246.27,68931.0,66.0,0.0,,,309.577946
,,,,231509.5,0.0,73.0,1.0,,,350.4
,,,,541195.37,0.0,73.0,0.0,,,365.364581
,,,,958733.23,39266.0,80.0,0.0,,,384.0
,,,,2210350.72,0.0,102.0,0.0,,,489.6
,,,,976494.53,0.0,98.0,1.0,,,705.6
,,,,256715.15,40864.0,65.0,0.0,,,9.51528
,,,,265062.28,39035.0,68.0,0.0,,,244.564334
,,,,1126436.33,34923.0,98.0,0.0,,,639.105556
,,,,216852.35,0.0,63.0,0.0,,,453.6
,,,,861066.75,0.0,111.0,0.0,,,532.8
,,,,283464.62,24506.0,71.0,0.0,,,511.2
,,,,893013.97,0.0,82.0,0.0,,,554.522969
,,,,553638.7,52220.0,70.0,1.0,,,336.0
,,,,284085.43,0.0,74.0,0.0,,,402.449823
,,,,808288.1,53554.0,67.0,0.0,,,327.020539
,,,,525473.43,34476.0,67.0,1.0,,,5.3953
,,,,511623.76,0.0,70.0,0.0,,,131.401291
,,,,303464.7,68205.0,76.0,0.0,,,99.382943
,,,,802489.99,0.0,119.0,1.0,,,856.8
,,,,1821114.32,53690.0,154.0,0.0,,,739.2
,,,,512156.33,0.0,72.0,0.0,,,518.4
,,,,215017.86,0.0,61.0,0.0,,,292.8
,,,,559538.99,74454.0,71.0,0.0,,,340.8
,,,,756282.4,0.0,73.0,0.0,,,350.4
,,,,538585.32,29664.0,71.0,0.0,,,340.8
,,,,267805.83,72450.0,66.0,0.0,,,84.218363
,,,,942256.79,47272.0,79.0,3.0,,,64.546877
,,,,360586.03,21585.0,92.0,0.0,,,441.6
,,,,776259.06,23827.0,106.0,2.0,,,37.910623
,,,,2344490.05,69906.0,74.0,2.0,,,202.860399
,,,,255817.82,0.0,72.0,0.0,,,345.6
,,,,265438.1,73196.0,66.0,1.0,,,85.809817
,,,,254978.61,72217.0,6464.0,0.0,,,91.146661
,,,,296959.33,46131.0,74.0,0.0,,,355.2
,,,,436312.46,54514.0,109.0,3.0,,,286.234931
,,,,588430.86,0.0,161.0,0.0,,,1159.2
,,,,527219.16,96668.0,66.0,0.0,,,316.8
,,,,550989.57,78879.0,69.0,1.0,,,466.570791
,,,,1631368.35,0.0,69.0,0.0,,,331.2
,,,,567805.02,0.0,76.0,0.0,,,364.8
,,,,1210120.88,0.0,112.0,0.0,,,1252.406235
,,,,245357.08,29735.0,69.0,0.0,,,331.2
,,,,507566.27,23082.0,65.0,0.0,,,312.0
,,,,321497.94,53984.0,80.0,0.0,,,421.484456
,,,,1227534.31,52135.0,156.0,0.0,,,430.505942
,,,,272221.07,17576.0,71.0,0.0,,,398.502948
,,,,245744.09,29486.0,62.0,0.0,,,7.646763
,,,,355484.53,58557.0,88.0,0.0,,,55.510526
,,,,492954.97,25632.0,63.0,0.0,,,351.270869
,,,,803645.03,0.0,112.0,0.0,,,806.4
,,,,427691.53,18768.0,68.0,3.0,,,647.454583
,,,,3347334.95,33190.0,106.0,0.0,,,508.8
,,,,596058.14,47945.0,74.0,0.0,,,128.43823
,,,,4479546.94,58778.0,126.0,0.0,,,302.033971
,,,,383211.81,15192.0,100.0,0.0,,,480.0
,,,,683793.26,51859.0,171.0,0.0,,,1003.160633
,,,,528526.82,23422.0,72.0,0.0,,,518.4
,,,,309651.12,21604.0,79.0,0.0,,,379.2
,,,,358971.07,79298.0,90.0,0.0,,,244.362072
,,,,258240.85,76731.0,64.0,0.0,,,201.455005
,,,,340391.94,38460.0,88.0,1.0,,,91.55098
,,,,1357567.6,48534.0,115.0,1.0,,,552.0
,,,,343613.43,30817.0,88.0,0.0,,,91.834668
,,,,2868582.79,48412.0,104.0,0.0,,,707.430832
,,,,450267.97,68798.0,114.0,0.0,,,92.915251
,,,,618311.15,23712.0,85.0,0.0,,,376.126419
,,,,387364.7,28142.0,105.0,0.0,,,701.708239
,,,,1892933.06,72196.0,68.0,0.0,,,152.184244
,,,,555329.58,68197.0,69.0,0.0,,,176.819414
,,,,501125.92,75248.0,63.0,0.0,,,104.454624
,,,,1044244.63,0.0,98.0,0.0,,,941.718054
,,,,219961.78,0.0,65.0,1.0,,,468.0
,,,,512317.09,89879.0,63.0,0.0,,,94.030308
,,,,748431.05,46998.0,96.0,0.0,,,460.8
,,,,261302.31,57099.0,67.0,0.0,,,67.859881
,,,,908063.97,33897.0,114.0,0.0,,,539.843003
,,,,1377097.62,59207.0,116.0,0.0,,,556.8
,,,,287682.29,40171.0,73.0,0.0,,,350.4
,,,,540891.15,80192.0,67.0,0.0,,,95.193157
,,,,677030.68,74422.0,85.0,1.0,,,95.338505
,,,,2414387.56,0.0,87.0,0.0,,,626.4
,,,,353805.95,0.0,67.0,5.0,,,321.6
,,,,2909123.94,34226.0,244.0,0.0,,,494.395024
,,,,1983420.12,65989.0,123.0,1.0,,,115.545086
,,,,473136.7,30686.0,61.0,0.0,,,19.938981
,,,,3553784.6,0.0,113.0,0.0,,,799.926741
,,,,3461137.9,20090.0,109.0,0.0,,,523.2
,,,,2021630.88,0.0,183.0,0.0,,,878.4
,,,,1397651.93,77094.0,176.0,0.0,,,444.470676
,,,,590408.82,97413.0,73.0,0.0,,,268.819985
,,,,559583.5,79189.0,69.0,0.0,,,331.2
,,,,229430.36,0.0,62.0,0.0,,,297.6
,,,,627391.19,18577.0,86.0,0.0,,,412.8
,,,,372672.8,0.0,112.0,1.0,,,806.4
,,,,265671.31,62777.0,67.0,0.0,,,101.288069
,,,,511068.08,0.0,74.0,0.0,,,532.8
,,,,712659.65,17483.0,183.0,0.0,,,1317.6
,,,,460163.41,84394.0,114.0,0.0,,,691.412378
,,,,915523.97,0.0,127.0,0.0,,,804.811859
,,,,1480805.62,41440.0,62.0,1.0,,,297.6
,,,,890167.84,0.0,136.0,1.0,,,1090.86434
,,,,573459.82,98132.0,71.0,0.0,,,50.587035
,,,,417769.7,0.0,112.0,0.0,,,537.6
,,,,2777628.91,88220.0,230.0,0.0,,,151.528482
,,,,1036434.75,58327.0,129.0,0.0,,,347.075948
,,,,785190.14,25950.0,66.0,0.0,,,271.697529
,,,,477294.38,20993.0,133.0,0.0,,,638.4
,,,,1422650.49,65726.0,177.0,0.0,,,849.6
,,,,287543.24,84768.0,72.0,0.0,,,110.484661
,,,,504129.96,36234.0,63.0,0.0,,,113.534474
,,,,436293.12,58842.0,110.0,0.0,,,528.0
,,,,962452.44,25629.0,124.0,2.0,,,595.2
,,,,2191440.55,77311.0,181.0,0.0,,,113.609508
,,,,694842.22,0.0,196.0,2.0,,,1337.063487
,,,,247152.84,95697.0,61.0,0.0,,,114.273025
,,,,2190391.36,22254.0,79.0,0.0,,,125.194389
,,,,902882.14,65974.0,113.0,0.0,,,235.220971
,,,,530375.95,0.0,76.0,0.0,,,395.34111
,,,,2070825.88,92079.0,65.0,1.0,,,114.798771
,,,,512376.81,0.0,74.0,0.0,,,772.798511
,,,,949234.3,0.0,132.0,0.0,,,633.6
,,,,820486.32,0.0,73.0,0.0,,,350.4
,,,,987729.57,67752.0,131.0,4.0,,,168.517149
,,,,481500.97,25398.0,64.0,0.0,,,307.2
,,,,627701.17,0.0,88.0,0.0,,,633.6
,,,,826063.98,33321.0,105.0,0.0,,,504.0
,,,,254945.0,0.0,78.0,0.0,,,845.654042
,,,,380392.18,20325.0,100.0,0.0,,,668.29397
,,,,863540.35,13129.0,117.0,0.0,,,700.901632
,,,,551055.9,0.0,73.0,0.0,,,525.6
,,,,358588.41,49080.0,91.0,0.0,,,25.299
,,,,488925.28,42536.0,63.0,0.0,,,375.330097
,,,,275694.17,29926.0,74.0,0.0,,,418.233667
,,,,328954.74,0.0,86.0,0.0,,,398.240791
,,,,1093717.85,21450.0,138.0,0.0,,,938.513425
,,,,737556.79,33345.0,65.0,0.0,,,338.619869
,,,,1011077.82,15752.0,90.0,0.0,,,339.344531
,,,,511941.43,40169.0,65.0,1.0,,,302.818833
,,,,853383.2,26049.0,113.0,1.0,,,619.165344
,,,,222476.8,0.0,68.0,0.0,,,326.4
,,,,804280.38,55411.0,100.0,0.0,,,259.561195
,,,,255443.71,12459.0,70.0,0.0,,,336.0
,,,,1807394.0,64620.0,76.0,1.0,,,364.8
,,,,243050.66,83140.0,61.0,0.0,,,179.161843
,,,,316765.84,0.0,92.0,0.0,,,662.4
,,,,546560.4,54422.0,68.0,0.0,,,75.501852
,,,,1035751.42,68309.0,131.0,0.0,,,306.983596
,,,,253781.39,56621.0,65.0,2.0,,,84.026848
,,,,282194.72,38977.0,70.0,0.0,,,139.489926
,,,,775712.81,0.0,111.0,0.0,,,607.4459
,,,,407913.27,0.0,114.0,0.0,,,631.124372
,,,,595554.46,0.0,83.0,0.0,,,628.023494
,,,,1415861.36,83235.0,70.0,0.0,,,336.0
,,,,848723.8,0.0,74.0,0.0,,,426.655599
,,,,628547.69,32390.0,80.0,0.0,,,91.417923
,,,,1147348.15,66538.0,95.0,0.0,,,317.844812
,,,,494263.06,23285.0,65.0,0.0,,,118.446235
,,,,2359468.02,76358.0,66.0,0.0,,,86.461582
,,,,257250.66,21104.0,66.0,0.0,,,118.454974
,,,,538089.86,55350.0,67.0,0.0,,,321.6
,,,,477055.09,12964.0,65.0,0.0,,,362.774545
,,,,675665.14,33288.0,86.0,2.0,,,221.856184
,,,,593601.18,0.0,84.0,0.0,,,980.169081
,,,,357076.05,56168.0,88.0,0.0,,,614.675906
,,,,601996.05,0.0,92.0,0.0,,,662.4
,,,,542686.4,23105.0,69.0,0.0,,,331.2
,,,,273031.38,36218.0,68.0,0.0,,,145.252168
,,,,498268.14,52275.0,62.0,0.0,,,374.240783
,,,,876926.68,49665.0,74.0,0.0,,,355.2
,,,,422061.35,32471.0,110.0,0.0,,,528.0
,,,,1153750.51,0.0,86.0,1.0,,,619.2
,,,,588718.2,62773.0,73.0,0.0,,,80.669257
,,,,470058.38,76694.0,117.0,0.0,,,561.6
,,,,1096395.72,55687.0,276.0,0.0,,,1324.8
,,,,252317.12,0.0,70.0,0.0,,,504.0
,,,,375780.47,36633.0,96.0,1.0,,,460.8
,,,,1294173.35,77060.0,106.0,0.0,,,468.566133
,,,,376446.51,92600.0,94.0,0.0,,,842.43785
,,,,688955.7,0.0,66.0,0.0,,,475.2
,,,,362345.42,0.0,111.0,2.0,,,1171.93117
,,,,758211.38,64801.0,64.0,0.0,,,268.471802
,,,,827774.56,45257.0,103.0,0.0,,,494.4
,,,,257645.56,26854.0,66.0,0.0,,,475.2
,,,,820538.79,85840.0,102.0,2.0,,,138.722385
,,,,1958246.89,26463.0,72.0,0.0,,,345.6
,,,,648152.66,30689.0,81.0,0.0,,,467.24802
,,,,259931.09,29590.0,66.0,0.0,,,467.503236
,,,,983033.76,25965.0,253.0,0.0,,,1214.4
,,,,1044265.14,17269.0,139.0,0.0,,,667.2
,,,,3605753.7,90330.0,137.0,3.0,,,192.085299
,,,,847003.68,0.0,113.0,0.0,,,619.973889
,,,,827878.65,0.0,110.0,0.0,,,1002.782553
,,,,478893.26,0.0,67.0,1.0,,,321.6
,,,,308799.99,18558.0,80.0,0.0,,,384.0
,,,,444373.62,46384.0,113.0,0.0,,,251.774574
,,,,798408.65,0.0,72.0,0.0,,,866.208321
,,,,718097.1,42303.0,180.0,0.0,,,1210.920949
,,,,1565603.43,71731.0,130.0,0.0,,,599.648466
,,,,578018.22,51066.0,74.0,0.0,,,787.993313
,,,,2071494.04,0.0,203.0,0.0,,,2027.724442
,,,,533735.24,0.0,86.0,3.0,,,619.2
,,,,505082.62,0.0,69.0,0.0,,,72.852047
,,,,511662.4,26173.0,68.0,1.0,,,449.819671
,,,,726873.7,24445.0,63.0,0.0,,,302.4
,,,,261661.39,72302.0,66.0,0.0,,,316.8
,,,,373843.62,27208.0,102.0,0.0,,,489.6
,,,,272535.64,36650.0,69.0,1.0,,,56.60333
,,,,545386.12,30855.0,68.0,0.0,,,259.060862
,,,,684615.03,0.0,95.0,0.0,,,456.0
,,,,617291.42,99960.0,76.0,0.0,,,364.8
,,,,1034632.45,0.0,98.0,0.0,,,470.4
,,,,699700.86,55873.0,88.0,0.0,,,299.356083
,,,,419625.77,18052.0,111.0,0.0,,,699.1679
,,,,785810.98,28937.0,104.0,2.0,,,117.959654
,,,,606434.4,0.0,86.0,0.0,,,545.240341
,,,,1749752.2,0.0,73.0,0.0,,,350.4
,,,,897064.73,12829.0,118.0,0.0,,,328.231432
,,,,592311.72,92163.0,73.0,0.0,,,66.568642
,,,,3585059.94,17588.0,192.0,0.0,,,1382.4
,,,,870984.53,41546.0,111.0,0.0,,,121.306839
,,,,1330933.52,0.0,127.0,0.0,,,609.6
,,,,452850.49,70340.0,113.0,0.0,,,542.4
,,,,279190.65,0.0,74.0,0.0,,,532.8
,,,,443441.12,34549.0,111.0,0.0,,,125.933005
,,,,799600.75,93459.0,99.0,0.0,,,655.41333
,,,,512973.9,86148.0,65.0,2.0,,,312.0
,,,,569717.52,27048.0,72.0,0.0,,,345.6
,,,,921713.06,73259.0,115.0,0.0,,,673.34265
,,,,1020892.76,35482.0,129.0,0.0,,,619.2
,,,,417068.73,29462.0,107.0,1.0,,,513.6
,,,,450540.58,67801.0,115.0,1.0,,,23.810491
,,,,310756.86,0.0,94.0,4.0,,,451.2
,,,,552866.5,16042.0,73.0,0.0,,,350.4
,,,,504586.67,28056.0,64.0,1.0,,,307.2
,,,,296272.25,16495.0,85.0,3.0,,,408.0
,,,,866595.64,41163.0,108.0,0.0,,,231.922173
,,,,1141344.12,0.0,161.0,1.0,,,772.8
,,,,1548843.2,33799.0,109.0,3.0,,,664.980242
,,,,886114.95,90125.0,110.0,0.0,,,128.645946
,,,,593474.15,87747.0,147.0,1.0,,,46.492039
,,,,354323.21,35695.0,90.0,0.0,,,432.0
,,,,349002.83,90985.0,87.0,0.0,,,78.085149
,,,,368309.99,0.0,101.0,0.0,,,564.466556
,,,,598977.39,66839.0,154.0,0.0,,,739.2
,,,,1250084.3,0.0,165.0,0.0,,,792.0
,,,,860915.82,79090.0,107.0,0.0,,,289.040734
,,,,249745.51,24825.0,64.0,0.0,,,155.938593
,,,,701917.72,26806.0,63.0,0.0,,,302.4
,,,,538792.63,56835.0,67.0,0.0,,,326.549425
,,,,616555.75,0.0,88.0,0.0,,,653.65668
,,,,273020.29,46135.0,69.0,0.0,,,103.935601
,,,,516211.69,0.0,73.0,0.0,,,809.532341
,,,,793706.48,22862.0,67.0,0.0,,,321.6
,,,,860815.72,21450.0,110.0,2.0,,,528.0
,,,,263254.58,95854.0,65.0,0.0,,,312.0
,,,,778500.42,44897.0,99.0,1.0,,,580.72531
,,,,2163983.86,64455.0,108.0,0.0,,,133.735395
,,,,498082.5,53265.0,62.0,0.0,,,238.005074
,,,,745723.78,0.0,198.0,1.0,,,1577.674417
,,,,1064093.93,50450.0,90.0,0.0,,,135.892444
,,,,686250.83,54780.0,88.0,3.0,,,135.26125
,,,,904898.34,0.0,119.0,0.0,,,571.2
,,,,554803.19,67798.0,69.0,0.0,,,331.2
,,,,831268.16,21442.0,118.0,0.0,,,566.4
,,,,238998.1,27615.0,62.0,1.0,,,297.6
,,,,445811.34,17622.0,65.0,1.0,,,312.0
,,,,529574.17,50200.0,135.0,0.0,,,637.063458
,,,,383960.61,0.0,112.0,2.0,,,537.6
,,,,373150.46,0.0,96.0,0.0,,,460.8
,,,,277890.37,73570.0,70.0,1.0,,,75.936096
,,,,401654.2,0.0,111.0,0.0,,,799.2
,,,,493094.93,70412.0,61.0,0.0,,,136.291083
,,,,249131.7,36631.0,62.0,0.0,,,67.530904
,,,,290887.59,35895.0,73.0,0.0,,,312.921256
,,,,428294.8,40864.0,109.0,1.0,,,166.937747
,,,,834162.37,0.0,118.0,0.0,,,566.4
,,,,509078.13,93018.0,63.0,0.0,,,135.382194
,,,,736618.83,70014.0,62.0,0.0,,,17.742954
,,,,243687.51,48875.0,61.0,0.0,,,1.838367
,,,,885268.87,67969.0,74.0,0.0,,,197.776009
